         year    sex education vocabulary
19780044 1978 Female        12          7
19840920 1984 Female        12          8
19820619 1982   Male        16          8
19941095 1994 Female        12          4
20061047 2006 Female        15          4
19930422 1993   Male        12          7
19820521 1982 Female        12          9
19891272 1989 Female        18          9
20062114 2006 Female         8          3
20120305 2012   Male        18          8
19820407 1982   Male        20          7
19880929 1988   Male        16          5
20000848 2000 Female        13          5
20121050 2012 Female        13          5
19901070 1990 Female        14          7
19780864 1978   Male        12          3
20062061 2006 Female        16          7
20061436 2006   Male        18          7
20100966 2010 Female        14          6
20000771 2000   Male        12          5
19911047 1991 Female        16          7
19761082 1976   Male        16          8
20002339 2000   Male        12          2
20101952 2010 Female        12          5
19741008 1974 Female        14          6
19780048 1978 Female        12          3
19891226 1989 Female        12          8
19781328 1978 Female        12          6
19780216 1978   Male        17          9
19870362 1987 Female         9          5
19960264 1996 Female        13          6
19781023 1978   Male        16          9
19931044 1993   Male        13          4
19881145 1988 Female        11          6
20140999 2014 Female        12          6
19870213 1987 Female        16          6
19900939 1990 Female        20         10
19911244 1991 Female        15          6
20063299 2006 Female        13          6
